id,set,series,publisher,generation,release_date,artist,name,set_num,types,supertype,subtypes,level,hp,evolvesFrom,evolvesTo,abilities,attacks,weaknesses,retreatCost,convertedRetreatCost,rarity,flavorText,nationalPokedexNumbers,legalities,resistances,rules,regulationMark,ancientTrait,cleaned_attacks,cleaned_abilities,cleaned_rules,2021_exception,temp_id,name_card,power_level,tournamentYear
hgss2-78,Unleashed,HeartGold & SoulSilver,TPCI,Fourth,5/12/2010,Kouki Saitou,Judge,78,none,Trainer,['Supporter'],none,none,none,none,none,none,none,none,none,Uncommon,none,none,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",none,"['You can play only one Supporter card each turn. When you play this card, put it next to your Active Pokémon. When your turn ends, discard this card.', 'Each player shuffles his or her hand into his or her deck and draws 4 cards.']",none,none,none,none,You can play only one Supporter card each turn. When you play this card put it next to your Active Pokémon. When your turn ends discard this card. Each player shuffles his or her hand into his or her deck and draws 4 cards.,False,Judge,Judge,0.08055715106260769,2022
bw2-92,Emerging Powers,Black & White,TPCI,Fifth,8/31/2011,5ban Graphics,Crushing Hammer,92,none,Trainer,['Item'],none,none,none,none,none,none,none,none,none,Uncommon,none,none,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",none,"[""Flip a coin. If heads, discard an Energy attached to 1 of your opponent's Pokémon."", 'You may play as many Item cards as you like during your turn (before your attack).']",none,none,none,none,"""Flip a coin. If heads discard an Energy attached to 1 of your opponents Pokémon."" You may play as many Item cards as you like during your turn (before your attack).",False,Crushing Hammer,Crushing Hammer,0.01751866743251005,2022
bw2-95,Emerging Powers,Black & White,TPCI,Fifth,8/31/2011,5ban Graphics,Pokémon Catcher,95,none,Trainer,['Item'],none,none,none,none,none,none,none,none,none,Uncommon,none,none,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",none,"[""Switch your opponent's Active Pokémon with 1 of his or her Benched Pokémon."", 'You may play as many Item cards as you like during your turn (before your attack).']",none,none,none,none,"""Switch your opponents Active Pokémon with 1 of his or her Benched Pokémon."" You may play as many Item cards as you like during your turn (before your attack).",False,Pokémon Catcher,Pokémon Catcher,0.01665709362435382,2022
bw4-87,Next Destinies,Black & White,TPCI,Fifth,2/8/2012,Ryo Ueda,Exp. Share,87,none,Trainer,['Pokémon Tool'],none,none,none,none,none,none,none,none,none,Uncommon,none,none,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",none,"[""Attach a Pokémon Tool to 1 of your Pokémon that doesn't already have a Pokémon Tool attached to it."", ""When your Active Pokémon is Knocked Out by damage from an opponent's attack, you may move 1 basic Energy card that was attached to that Pokémon to the Pokémon this card is attached to."", 'You may play as many Item cards as you like during your turn (before your attack).']",none,none,none,none,"""Attach a Pokémon Tool to 1 of your Pokémon that doesnt already have a Pokémon Tool attached to it."" ""When your Active Pokémon is Knocked Out by damage from an opponents attack you may move 1 basic Energy card that was attached to that Pokémon to the Pokémon this card is attached to."" You may play as many Item cards as you like during your turn (before your attack).",True,Exp. Share,Exp. Share,0.001292360712234348,2022
bw4-89,Next Destinies,Black & White,TPCI,Fifth,2/8/2012,5ban Graphics,Level Ball,89,none,Trainer,['Item'],none,none,none,none,none,none,none,none,none,Uncommon,none,none,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",none,"['Search your deck for a Pokémon with 90 HP or less, reveal it, and put it into your hand. Shuffle your deck afterward.', 'You may play as many Item cards as you like during your turn (before your attack).']",none,none,none,none,Search your deck for a Pokémon with 90 HP or less reveal it and put it into your hand. Shuffle your deck afterward. You may play as many Item cards as you like during your turn (before your attack).,True,Level Ball,Level Ball,0.09003446295232626,2022
bw5-93,Dark Explorers,Black & White,TPCI,Fifth,5/9/2012,5ban Graphics,Dark Patch,93,none,Trainer,['Item'],none,none,none,none,none,none,none,none,none,Uncommon,none,none,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",none,"['Attach a basic Darkness Energy card from your discard pile to 1 of your Benched Darkness Pokémon.', 'You may play as many Item cards as you like during your turn (before your attack).']",none,none,none,none,Attach a basic Darkness Energy card from your discard pile to 1 of your Benched Darkness Pokémon. You may play as many Item cards as you like during your turn (before your attack).,False,Dark Patch,Dark Patch,0.006605399195864446,2022
bw5-102,Dark Explorers,Black & White,TPCI,Fifth,5/9/2012,5ban Graphics,Ultra Ball,102,none,Trainer,['Item'],none,none,none,none,none,none,none,none,none,Uncommon,none,none,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",none,"[""Discard 2 cards from your hand. (If you can't discard 2 cards, you can't play this card.) Search your deck for a Pokémon, reveal it, and put it into your hand. Shuffle your deck afterward."", 'You may play as many Item cards as you like during your turn (before your attack).']",none,none,none,none,"""Discard 2 cards from your hand. (If you cant discard 2 cards you cant play this card.) Search your deck for a Pokémon reveal it and put it into your hand. Shuffle your deck afterward."" You may play as many Item cards as you like during your turn (before your attack).",False,Ultra Ball,Ultra Ball,0.6654221711659966,2022
bw6-116,Dragons Exalted,Black & White,TPCI,Fifth,8/15/2012,Ryo Ueda,Tool Scrapper,116,none,Trainer,['Item'],none,none,none,none,none,none,none,none,none,Uncommon,none,none,"{'unlimited': 'Legal', 'expanded': 'Legal'}",none,"[""Choose up to 2 Pokémon Tool cards attached to Pokémon in play (yours or your opponent's) and discard them."", 'You may play as many Item cards as you like during your turn (before your attack).']",none,none,none,none,"""Choose up to 2 Pokémon Tool cards attached to Pokémon in play (yours or your opponents) and discard them."" You may play as many Item cards as you like during your turn (before your attack).",False,Tool Scrapper,Tool Scrapper,0.006748994830557151,2022
bw7-134,Boundaries Crossed,Black & White,TPCI,Fifth,11/7/2012,Yusuke Ohmura,Skyla,134,none,Trainer,['Supporter'],none,none,none,none,none,none,none,none,none,Uncommon,none,none,"{'unlimited': 'Legal', 'expanded': 'Legal'}",none,"['Search your deck for a Trainer card, reveal it, and put it into your hand. Shuffle your deck afterward.', 'You may play only 1 Supporter card during your turn (before your attack).']",none,none,none,none,Search your deck for a Trainer card reveal it and put it into your hand. Shuffle your deck afterward. You may play only 1 Supporter card during your turn (before your attack).,False,Skyla,Skyla,0.00430786904078116,2022
bw8-120,Plasma Storm,Black & White,TPCI,Fifth,2/6/2013,Ryo Ueda,Escape Rope,120,none,Trainer,['Item'],none,none,none,none,none,none,none,none,none,Uncommon,none,none,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",none,"[""Each player switches his or her Active Pokémon with 1 of his or her Benched Pokémon. (Your opponent switches first. If a player does not have a Benched Pokémon, he or she doesn't switch Pokémon.)"", 'You may play as many Item cards as you like during your turn (before your attack).']",none,none,none,none,"""Each player switches his or her Active Pokémon with 1 of his or her Benched Pokémon. (Your opponent switches first. If a player does not have a Benched Pokémon he or she doesnt switch Pokémon.)"" You may play as many Item cards as you like during your turn (before your attack).",False,Escape Rope,Escape Rope,0.22544514646754737,2022
xy1-127,XY,XY,TPCI,Sixth,2/5/2014,Ken Sugimori,Shauna,127,none,Trainer,['Supporter'],none,none,none,none,none,none,none,none,none,Uncommon,none,none,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",none,"['Shuffle your hand into your deck. Then, draw 5 cards.', 'You may play only 1 Supporter card during your turn (before your attack).']",none,none,none,none,Shuffle your hand into your deck. Then draw 5 cards. You may play only 1 Supporter card during your turn (before your attack).,False,Shauna,Shauna,0.00014359563469270534,2022
xy2-92,Flashfire,XY,TPCI,Sixth,5/7/2014,PLANETA,Pal Pad,92,none,Trainer,['Item'],none,none,none,none,none,none,none,none,none,Uncommon,none,none,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",none,"['Shuffle 2 Supporter cards from your discard pile into your deck.', 'You may play as many Item cards as you like during your turn (before your attack).']",none,none,none,none,Shuffle 2 Supporter cards from your discard pile into your deck. You may play as many Item cards as you like during your turn (before your attack).,False,Pal Pad,Pal Pad,0.05083285468121769,2022
xy2-93,Flashfire,XY,TPCI,Sixth,5/7/2014,Maiko Fujiwara,Pokémon Center Lady,93,none,Trainer,['Supporter'],none,none,none,none,none,none,none,none,none,Uncommon,none,none,"{'unlimited': 'Legal', 'expanded': 'Legal'}",none,"['Heal 60 damage and remove all Special Conditions from 1 of your Pokémon.', 'You may play only 1 Supporter card during your turn (before your attack).']",none,none,none,none,Heal 60 damage and remove all Special Conditions from 1 of your Pokémon. You may play only 1 Supporter card during your turn (before your attack).,False,Pokémon Center Lady,Pokémon Center Lady,0.0007179781734635267,2022
xy7-72,Ancient Origins,XY,TPCI,Sixth,8/12/2015,Toyste Beach,Energy Recycler,72,none,Trainer,['Item'],none,none,none,none,none,none,none,none,none,Uncommon,none,none,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",none,"['Shuffle 5 basic Energy cards from your discard pile into your deck.', 'You may play as many Item cards as you like during your turn (before your attack).']",none,none,none,none,Shuffle 5 basic Energy cards from your discard pile into your deck. You may play as many Item cards as you like during your turn (before your attack).,False,Energy Recycler,Energy Recycler,0.02929350947731189,2022
sm1-123,Sun & Moon,Sun & Moon,TPCI,Seventh,2/3/2017,Toyste Beach,Nest Ball,123,none,Trainer,['Item'],none,none,none,none,none,none,none,none,none,Uncommon,none,none,"{'unlimited': 'Legal', 'expanded': 'Legal'}",none,"['Search your deck for a Basic Pokémon and put it onto your Bench. Then, shuffle your deck.', 'You may play as many Item cards as you like during your turn (before your attack).']",none,none,none,none,Search your deck for a Basic Pokémon and put it onto your Bench. Then shuffle your deck. You may play as many Item cards as you like during your turn (before your attack).,True,Nest Ball,Nest Ball,0.01809304997128087,2022
sm2-122,Guardians Rising,Sun & Moon,TPCI,Seventh,5/5/2017,Yoshinobu Saito,Energy Loto,122,none,Trainer,['Item'],none,none,none,none,none,none,none,none,none,Uncommon,none,none,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",none,"['Look at the top 7 cards of your deck. You may reveal an Energy card you find there and put it into your hand. Shuffle the other cards back into your deck.', 'You may play as many Item cards as you like during your turn (before your attack).']",none,none,none,none,Look at the top 7 cards of your deck. You may reveal an Energy card you find there and put it into your hand. Shuffle the other cards back into your deck. You may play as many Item cards as you like during your turn (before your attack).,True,Energy Loto,Energy Loto,0.012492820218265364,2022
swshp-SWSH120,SWSH Black Star Promos,Sword & Shield,TPCI,Eighth,11/15/2019,Sanosuke Sakuma,Marnie,SWSH120,none,Trainer,['Supporter'],none,none,none,none,none,none,none,none,none,Promo,none,none,"{'unlimited': 'Legal', 'expanded': 'Legal'}",none,"['Each player shuffles their hand and puts it on the bottom of their deck. If either player put any cards on the bottom of their deck in this way, you draw 5 cards, and your opponent draws 4 cards.', 'You may play only 1 Supporter card during your turn.']",D,none,none,none,Each player shuffles their hand and puts it on the bottom of their deck. If either player put any cards on the bottom of their deck in this way you draw 5 cards and your opponent draws 4 cards. You may play only 1 Supporter card during your turn.,True,Marnie,Marnie,0.36731763354394026,2022
swshp-SWSH146,SWSH Black Star Promos,Sword & Shield,TPCI,Eighth,11/15/2019,5ban Graphics,Poké Ball,SWSH146,none,Trainer,['Item'],none,none,none,none,none,none,none,none,none,Promo,none,none,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",none,"['Flip a coin. If heads, search your deck for a Pokémon, show it to your opponent, and put it into your hand. Shuffle your deck afterward.', 'You may play any number of Item cards during your turn.']",D,none,none,none,Flip a coin. If heads search your deck for a Pokémon show it to your opponent and put it into your hand. Shuffle your deck afterward. You may play any number of Item cards during your turn.,True,Poké Ball,,0.0,2022
swshp-SWSH152,SWSH Black Star Promos,Sword & Shield,TPCI,Eighth,11/15/2019,Yuu Nishida,Professor's Research,SWSH152,none,Trainer,['Supporter'],none,none,none,none,none,none,none,none,none,Promo,none,none,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",none,"['Discard your hand and draw 7 cards.', 'You may play only 1 Supporter card during your turn.']",D,none,none,none,Discard your hand and draw 7 cards. You may play only 1 Supporter card during your turn.,True,Professor's Research,Professor's Research,0.373779437105112,2022
swshp-SWSH167,SWSH Black Star Promos,Sword & Shield,TPCI,Eighth,11/15/2019,Ryuta Fuse,Professor Burnet,SWSH167,none,Trainer,['Supporter'],none,none,none,none,none,none,none,none,none,Promo,none,none,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",none,"['Search your deck for up to 2 cards and discard them. Then, shuffle your deck.', 'You may play only 1 Supporter card during your turn.']",E,none,none,none,Search your deck for up to 2 cards and discard them. Then shuffle your deck. You may play only 1 Supporter card during your turn.,True,Professor Burnet,Professor Burnet,0.008472142446869614,2022
swshp-SWSH251,SWSH Black Star Promos,Sword & Shield,TPCI,Eighth,11/15/2019,Mitsuhiro Arita,Boss's Orders,SWSH251,none,Trainer,['Supporter'],none,none,none,none,none,none,none,none,none,Promo,none,none,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",none,"[""Switch 1 of your opponent's Benched Pokémon with their Active Pokémon."", 'You may play only 1 Supporter card during your turn.']",F,none,none,none,"""Switch 1 of your opponents Benched Pokémon with their Active Pokémon."" You may play only 1 Supporter card during your turn.",True,Boss's Orders,Boss's Orders,0.45792647903503736,2022
swshp-SWSH302,SWSH Black Star Promos,Sword & Shield,TPCI,Eighth,11/15/2019,Yuu Nishida,Klara,SWSH302,none,Trainer,['Supporter'],none,none,none,none,none,none,none,none,none,Promo,none,none,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",none,"['Choose 1 or both: • Put up to 2 Pokémon from your discard pile into your hand. • Put up to 2 basic Energy cards from your discard pile into your hand.', 'You may play only 1 Supporter card during your turn.']",E,none,none,none,Choose 1 or both: • Put up to 2 Pokémon from your discard pile into your hand. • Put up to 2 basic Energy cards from your discard pile into your hand. You may play only 1 Supporter card during your turn.,True,Klara,Klara,0.021970132107983917,2022
swsh1-156,Sword & Shield,Sword & Shield,TPCI,Eighth,2/7/2020,Yoshinobu Saito,Air Balloon,156,none,Trainer,['Pokémon Tool'],none,none,none,none,none,none,none,none,none,Uncommon,none,none,"{'unlimited': 'Legal', 'expanded': 'Legal'}",none,"[""Attach a Pokémon Tool to 1 of your Pokémon that doesn't already have a Pokémon Tool attached."", 'The Retreat Cost of the Pokémon this card is attached to is ColorlessColorless less.', 'You may play any number of Item cards during your turn.']",D,none,none,none,"""Attach a Pokémon Tool to 1 of your Pokémon that doesnt already have a Pokémon Tool attached."" The Retreat Cost of the Pokémon this card is attached to is ColorlessColorless less. You may play any number of Item cards during your turn.",False,Air Balloon,Air Balloon,0.05700746697300402,2022
swsh1-157,Sword & Shield,Sword & Shield,TPCI,Eighth,2/7/2020,Naoki Saito,Bede,157,none,Trainer,['Supporter'],none,none,none,none,none,none,none,none,none,Uncommon,none,none,"{'unlimited': 'Legal', 'expanded': 'Legal'}",none,"['Attach a basic Energy card from your hand to 1 of your Benched Pokémon.', 'You may play only 1 Supporter card during your turn.']",D,none,none,none,Attach a basic Energy card from your hand to 1 of your Benched Pokémon. You may play only 1 Supporter card during your turn.,False,Bede,,0.0,2022
swsh1-158,Sword & Shield,Sword & Shield,TPCI,Eighth,2/7/2020,inose yukie,Big Charm,158,none,Trainer,['Pokémon Tool'],none,none,none,none,none,none,none,none,none,Uncommon,none,none,"{'unlimited': 'Legal', 'expanded': 'Legal'}",none,"[""Attach a Pokémon Tool to 1 of your Pokémon that doesn't already have a Pokémon Tool attached."", 'The Pokémon this card is attached to gets +30 HP.', 'You may play any number of Item cards during your turn.']",D,none,none,none,"""Attach a Pokémon Tool to 1 of your Pokémon that doesnt already have a Pokémon Tool attached."" The Pokémon this card is attached to gets +30 HP. You may play any number of Item cards during your turn.",False,Big Charm,Big Charm,0.02225732337736933,2022
swsh1-163,Sword & Shield,Sword & Shield,TPCI,Eighth,2/7/2020,Ryo Ueda,Evolution Incense,163,none,Trainer,['Item'],none,none,none,none,none,none,none,none,none,Uncommon,none,none,"{'unlimited': 'Legal', 'expanded': 'Legal'}",none,"['Search your deck for an Evolution Pokémon, reveal it, and put it into your hand. Then, shuffle your deck.', 'You may play any number of Item cards during your turn.']",D,none,none,none,Search your deck for an Evolution Pokémon reveal it and put it into your hand. Then shuffle your deck. You may play any number of Item cards during your turn.,False,Evolution Incense,Evolution Incense,0.4076680068925905,2022
swsh1-165,Sword & Shield,Sword & Shield,TPCI,Eighth,2/7/2020,Ken Sugimori,Hop,165,none,Trainer,['Supporter'],none,none,none,none,none,none,none,none,none,Uncommon,none,none,"{'unlimited': 'Legal', 'expanded': 'Legal'}",none,"['Draw 3 cards.', 'You may play only 1 Supporter card during your turn.']",D,none,none,none,Draw 3 cards. You may play only 1 Supporter card during your turn.,False,Hop,,0.0,2022
swsh1-168,Sword & Shield,Sword & Shield,TPCI,Eighth,2/7/2020,Yoshinobu Saito,Lum Berry,168,none,Trainer,['Pokémon Tool'],none,none,none,none,none,none,none,none,none,Uncommon,none,none,"{'unlimited': 'Legal', 'expanded': 'Legal'}",none,"[""Attach a Pokémon Tool to 1 of your Pokémon that doesn't already have a Pokémon Tool attached."", 'At the end of each turn, if the Pokémon this card is attached to is affected by any Special Conditions, it recovers from all of them, and discard this card.', 'You may play any number of Item cards during your turn.']",D,none,none,none,"""Attach a Pokémon Tool to 1 of your Pokémon that doesnt already have a Pokémon Tool attached."" At the end of each turn if the Pokémon this card is attached to is affected by any Special Conditions it recovers from all of them and discard this card. You may play any number of Item cards during your turn.",False,Lum Berry,,0.0,2022
swsh1-170,Sword & Shield,Sword & Shield,TPCI,Eighth,2/7/2020,Toyste Beach,Metal Saucer,170,none,Trainer,['Item'],none,none,none,none,none,none,none,none,none,Uncommon,none,none,"{'unlimited': 'Legal', 'expanded': 'Legal'}",none,"['Attach a Metal Energy card from your discard pile to 1 of your Benched Metal Pokémon.', 'You may play any number of Item cards during your turn.']",D,none,none,none,Attach a Metal Energy card from your discard pile to 1 of your Benched Metal Pokémon. You may play any number of Item cards during your turn.,False,Metal Saucer,Metal Saucer,0.002871912693854107,2022
swsh1-171,Sword & Shield,Sword & Shield,TPCI,Eighth,2/7/2020,5ban Graphics,Ordinary Rod,171,none,Trainer,['Item'],none,none,none,none,none,none,none,none,none,Uncommon,none,none,"{'unlimited': 'Legal', 'expanded': 'Legal'}",none,"['Choose 1 or both:\n• Shuffle up to 2 Pokémon from your discard pile into your deck.\n• Shuffle up to 2 basic Energy cards from your discard pile into your deck.', 'You may play any number of Item cards during your turn.']",D,none,none,none,Choose 1 or both:\n• Shuffle up to 2 Pokémon from your discard pile into your deck.\n• Shuffle up to 2 basic Energy cards from your discard pile into your deck. You may play any number of Item cards during your turn.,False,Ordinary Rod,Ordinary Rod,0.15278575531303848,2022
swsh1-173,Sword & Shield,Sword & Shield,TPCI,Eighth,2/7/2020,Hitoshi Ariga,Poké Kid,173,none,Trainer,['Supporter'],none,none,none,none,none,none,none,none,none,Uncommon,none,none,"{'unlimited': 'Legal', 'expanded': 'Legal'}",none,"['Search your deck for a Pokémon, reveal it, and put it into your hand. Then, shuffle your deck.', 'You may play only 1 Supporter card during your turn.']",D,none,none,none,Search your deck for a Pokémon reveal it and put it into your hand. Then shuffle your deck. You may play only 1 Supporter card during your turn.,False,Poké Kid,,0.0,2022
swsh1-177,Sword & Shield,Sword & Shield,TPCI,Eighth,2/7/2020,Ryo Ueda,Potion,177,none,Trainer,['Item'],none,none,none,none,none,none,none,none,none,Uncommon,none,none,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",none,"['Heal 30 damage from 1 of your Pokémon.', 'You may play any number of Item cards during your turn.']",D,none,none,none,Heal 30 damage from 1 of your Pokémon. You may play any number of Item cards during your turn.,False,Potion,,0.0,2022
swsh1-178,Sword & Shield,Sword & Shield,TPCI,Eighth,2/7/2020,Yusuke Ohmura,Professor's Research (Professor Magnolia),178,none,Trainer,['Supporter'],none,none,none,none,none,none,none,none,none,Rare Holo,none,none,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",none,"['Discard your hand and draw 7 cards.', 'You may play only 1 Supporter card during your turn.']",D,none,none,none,Discard your hand and draw 7 cards. You may play only 1 Supporter card during your turn.,False,Professor's Research (Professor Magnolia),,0.0,2022
swsh1-181,Sword & Shield,Sword & Shield,TPCI,Eighth,2/7/2020,5ban Graphics,Rotom Bike,181,none,Trainer,['Item'],none,none,none,none,none,none,none,none,none,Uncommon,none,none,"{'unlimited': 'Legal', 'expanded': 'Legal'}",none,"['Draw cards until you have 6 cards in your hand. Your turn ends.', 'You may play any number of Item cards during your turn.']",D,none,none,none,Draw cards until you have 6 cards in your hand. Your turn ends. You may play any number of Item cards during your turn.,False,Rotom Bike,,0.0,2022
